validation,accuracy,loss
0,76.47790269934201,25.630745251818976
1,79.26532304025699,13.738449980264216
2,79.99585513703953,11.849543933490304
3,81.15382622662038,10.774176662756574
4,81.51909227501166,10.056126772149746
5,81.5760841407181,9.501540143764428
6,82.02942852701932,9.054064798341198
7,81.81182322159474,8.70067520288476
8,82.3946945754106,8.475135890742195
9,82.18745142738719,8.248285566550763
10,82.28589192269831,8.041225078119007
11,83.23661986425573,8.059340258426829
12,83.28065903321071,6.822560546212562
13,83.25475363970779,6.452250683881344
14,83.38428060722242,6.1964249201408625
15,83.18999015595047,5.959420447648653
16,83.16149422309725,5.808648672229101
17,83.54489404694057,5.9996805799819555
18,83.49308325993472,5.352785746743174
19,83.7132791047096,5.13722917769849
